"","gini1_2016","gini2_2016","gini1_2014","gini2_2014","gini1_2012","gini2_2012","gini1_2011","gini2_2011","gini1_2010","gini2_2010"
"11",0.47510939909414,0.493136152647816,0.417375569978851,0.422230773562361,NA,NA,0.554212327418935,0.571973603243421,0.384889295178614,0.384744795881723
"12",0.552673515859579,0.542165862197017,0.349891293060663,0.349891293060663,0.372342656358892,0.406734839572103,0.426145590748521,0.425943263646511,0.537258429881718,0.537670275846452
"13",0.44794921176006,0.473782628341703,0.473215735938705,0.479253377620505,0.41274276725975,0.435329583903606,0.404709749320181,0.418170361489628,0.500541643362554,0.485645609267701
"14",0.66724455054574,0.699376018258918,0.495872450987615,0.514304902505435,0.502659438546987,0.514448251855503,0.449685093425498,0.437880769377945,0.483865316194014,0.468392543869144
"15",0.372683493108484,0.402998122398162,0.457235803170994,0.457235803170994,0.576132442677097,0.601362654422508,0.423834013721329,0.481566299543921,0.457461033379477,0.454717771927599
"21",0.493247930764359,0.532963603039,0.426404741931511,0.436228041213399,0.484813141644812,0.507178450804177,0.417783365299511,0.462034348510255,0.413230083180286,0.405929813103937
"22",0.405601020145674,0.469594980290756,0.471842799079309,0.478180685490357,0.438097638975023,0.457253401282693,0.408892378671263,0.427013743502693,0.456242321772672,0.461986939126341
"23",0.409783692976684,0.436705398438826,0.492895863873583,0.499657252355268,0.446156178679638,0.48077141751216,0.487907292303159,0.525675020562681,0.445077182557765,0.448436082797918
"31",0.560803599659444,0.555170340809281,0.586256024668357,0.590134874437092,0.498892059454488,0.529582405210789,0.395701520561039,0.389597228721372,0.470907038195379,0.462459283470432
"32",0.509273913782085,0.534555302120982,0.463949680699065,0.478109500454184,0.503645738951567,0.529251315910415,0.46666712511518,0.477343623212556,0.457593213865675,0.483017392230753
"33",0.436778239101128,0.438576314744502,0.420198404205806,0.426688720576636,0.535923801008301,0.55600402115698,0.394478580116924,0.384472512539356,0.48080612203361,0.454258731498602
"34",0.560423518523921,0.52909731375061,0.488712435632271,0.501540439039347,0.499998236792631,0.511626184774198,0.517084930170938,0.541642202061001,0.458390375166417,0.473273234842563
"35",0.662704475317251,0.550563546036312,0.505576916812745,0.508895192538834,0.523111963352418,0.53033753966526,0.433199090837874,0.447956255839172,0.430866729884683,0.433513243793944
"36",0.404573471392648,0.420299610424008,0.461451489115746,0.46615496956015,0.482613556723342,0.490604080943831,0.441017916911593,0.447513258940036,0.513923397983567,0.52086983676544
"37",0.502363633139072,0.561314923699855,0.535952365823023,0.549516835129734,0.560196289592099,0.581566062354865,0.400285572770176,0.424045243266013,0.440135513099059,0.41884572480743
"41",0.449907688351138,0.471500205981004,0.451426464471144,0.455944571810696,0.512575141646277,0.525573137869043,0.468115143072406,0.480202695817666,0.427001248252504,0.421782033374278
"42",0.511626351836013,0.501142626144556,0.521077583408188,0.523326045457915,0.420544196860319,0.452150877031575,0.453992607825545,0.45629712998533,0.533764291281441,0.509929582545
"43",0.487250450195395,0.482018741430118,0.457250405357332,0.474211330189916,0.558332491482765,0.58417473932154,0.510528134502101,0.526860286245683,0.50112697496909,0.496070603025328
"44",0.530000970558677,0.540234890168384,0.452085136845437,0.464058800688154,0.517661613338207,0.544920200323883,0.513384565074385,0.52641184824894,0.567187393007973,0.536799940510235
"45",0.551897881902357,0.570564785076573,0.522662207085968,0.531469177434936,0.552407875408655,0.568610305258116,0.409272682965104,0.373647498417296,0.538241597126617,0.508596518728502
"46",0.255080488454765,0.247266093211876,0,0,0.546452024742454,0.549887994251981,0.429522601155082,0.422638996057324,0.501682492760685,0.495824230048975
"50",0.466683146442795,0.452577394238708,0.484406796068745,0.484406796068745,0.617742540942409,0.628380503624903,0.417749078674507,0.427557524497738,0.530537187170545,0.511496532894568
"51",0.48639816204975,0.518131437194342,0.507566063472809,0.512331553181137,0.559388605605401,0.575494505139407,0.45373828091877,0.457170282307282,0.467967377453992,0.465241203816013
"52",0.624252166129109,0.67397534536932,0.509563507988169,0.518243799882183,0.535898232132334,0.538628242531556,0.401202780518433,0.391731638156525,0.462495998099401,0.43252926069916
"53",0.471934941682924,0.521911390016437,0.50029990087509,0.507016300056877,0.515272934717174,0.53270916008706,0.417294465345225,0.430540188912103,0.500850730463029,0.457003925768075
"54",0.0141388174807198,0.0141388174807198,0.467684902608628,0.482420268626382,0.53774055630345,0.551584703265874,0.554212327418935,0.571973603243421,0.384889295178614,0.384744795881723
"61",0.465332512938757,0.512960498635999,0.513460917062806,0.520800946564151,NA,NA,0.426145590748521,0.425943263646511,0.537258429881718,0.537670275846452
"62",0.428334031225665,0.474116740887636,0.0714285714285714,0.0714285714285714,0.372342656358892,0.406734839572103,0.404709749320181,0.418170361489628,0.500541643362554,0.485645609267701
"63",0.0492170022371363,0.206896551724138,NA,NA,0.41274276725975,0.435329583903606,0.449685093425498,0.437880769377945,0.483865316194014,0.468392543869144
"64",0.126554583141409,0.32657967032967,0.417375569978851,0.422230773562361,0.502659438546987,0.514448251855503,0.423834013721329,0.481566299543921,0.457461033379477,0.454717771927599
"65",0.329789719626168,0.345724614900974,0.349891293060663,0.349891293060663,0.576132442677097,0.601362654422508,0.417783365299511,0.462034348510255,0.413230083180286,0.405929813103937
